episode,epsilon,reward,steps,success,normal_moves,wall_collisions,penalty_visits,closed_door_attempts,door_passes,periodic_gate_closed,periodic_gate_passes,key_collected,goal_reached_count,step_limit_reached_count,terminated,truncated
265,0.20561564777615304,-336.20999999999975,270,1,227,33,3,0,1,1,3,1,1,0,1,0
266,0.2043873921115946,-73.54,126,1,113,8,2,0,1,0,0,1,1,0,1,0
267,0.20316647349552364,-36.179999999999964,108,1,97,8,0,0,1,0,0,1,1,0,1,0
268,0.20195284809970304,-493.65000000000026,414,1,373,33,2,0,1,1,2,1,1,0,1,0
269,0.20074647235770596,-233.61999999999983,230,1,204,21,0,0,1,1,1,1,1,0,1,0
270,0.19954730296335174,-95.8500000000001,138,1,120,14,0,0,2,0,0,1,1,0,1,0
271,0.19835529686915154,-296.5999999999999,270,1,239,23,2,0,1,1,2,1,1,0,1,0
272,0.19717041128476284,-175.26,140,1,104,27,3,0,2,1,1,1,1,0,1,0
273,0.1959926036754535,-222.5,231,1,210,15,2,0,2,0,0,1,1,0,1,0
274,0.19482183176057466,-181.69000000000005,192,1,173,12,4,0,1,0,0,1,1,0,1,0
275,0.1936580535120433,-678.9799999999996,423,0,379,32,7,0,0,2,2,1,0,1,0,1
276,0.1925012271528331,-192.4799999999999,179,1,152,18,4,0,1,1,1,1,1,0,1,0
277,0.19135131115547513,-471.7799999999998,400,1,358,29,3,0,3,1,4,1,1,0,1,0
278,0.19020826424056686,-181.1099999999999,216,1,200,7,3,0,1,1,2,1,1,0,1,0
279,0.1890720453752904,-566.0300000000003,423,0,390,23,0,0,2,0,7,1,0,1,0,1
280,0.18794261377193952,11.299999999999983,82,1,75,4,0,0,1,0,0,1,1,0,1,0
